English,Tibetan,THL Phonetics
cat,ཞི་མི།,shimi
dog,ཁྱི།,khyi
bird,བྱིའུ།,chiou
yak,གཡག,yak
cow,བ་ཕྱུགས།,phachuk
pig,ཕག་པ།,phak pa
snake,སྦྲུལ།,drul
spider,སྡོམ།,dom
fish,ཉ།,nya
tiger,སྟག,tak
elephant,གླང་ཆེན,lang chen
monkey,སྤྲེ་འུ།,träou
bear,དོམ།,thom
brown bear,དྲེད་མོང།,dre mong
leopard ,གཟིག,śig
panda,དོམ་ཁྲ།,domtra
lynx,གཡི།,yi
fox,ལྦ་མོ།,wa mo
musk dear,གླ་བ།,la wa
argali,གཉན།,nyen
antelope,གཙོད།,tsö
lion,སེང་གེ,seng-gey
horse,རྟ།,ta
parrot,ནེ་ཙོ།,ney-tso
vulture,བྱ་རྒོད།,jagöd
butterfly,ཕྱེ་མ་ལེབ།,che-ma-leb
rabbit,རི་བོང།,ri-bong
deer,ཤ་བ།,shawa
peacock,རྨ་བྱ།,ma-ja
crocodile,ཆུ་སྲིན།,chu-sin
zebra,རྐྱང་ཁྲ།,kyang tra
camel,རྔ་མོང།,nag mong
giraffe,ཤ་ཁྲ་སྐེ་རིང།,sha tra key rink
squirrel ,ཐང་ལི།,thangli 
raccoon,རེག་ཁུན།,rek khun
rat,ཙི་ཙི།,tsi tsi
weasel,སྲེ་མོང།,sey mong
wolf,སྤྱང་ཀི,chang ki
eagle,གླག,lak
owl,འུག་པ།,wugpa
pigeon,ཕུག་རོན།,phukron
sparrow,ཁང་བྱིའུ།,khang jewu
crow,ཁ་ཏྭ།,khata
dove,ཐི་བ།,thiwa
