English,Tibetan,THL Phonetics
eyes,མིག,mik
tear,མིིག་ཆུ།,mikchu
eyebrow,མིག་སྤུ།,mikpu
eye gunk,མིག་སྐྱག,mikyak
heart,སྙིང།,nying
liver,མཆིན་པ།,chinpa
lungs,གློ་བ།,lowa
stomach,ཕོ་བ།,phowa
intestine,རྒྱུ་མ།,gyuma
kidney,མཁལ་མ།,khalma
brain,གླད་པ།,le pa
bladder,གཅིན་ལྒང།,chin gang
pancreas,ཤ་རྨེན།,sha men
head,མགོ,go
ears,ཨ་མཆོག,a chok
beak ,མཆུ་ཏོ།,chu to
mouth ,ཁ,kha
shoulder,ཕྲག་པ།,trak pa
chest,བྲང་ཁ།,drang kha
elbow,གྲུ་མོ།,dru mo
breast,ནུ་མ།,nu ma
neck,སྐེ།,ke
belly,གྲོད་ཁོག,drö khok
thigh,བརླ།,la
ankle,ལུང་བུ།,lung bu
foot,རྐང་པ།,kang pa
back,རྒྱབ།,gyap
wrist,མཁྲིག་མ།,trik ma
fingers,མཛུབ་མོ།,dzup mo
hands,ལག་པ།,lak pa
bottom,རྐུབ།,kup
knee,པུས་མོ།,pü mo
calf,ཉྭ།,nya
