English,Tibetan,THL Phonetics
house,ཁང་པ།,khang pa
roof,ཁང་ཐོག,khang tok
room,ཁང་མིག,khang mig
door,སྒོ།,go
window,སྒེའུ་ཁུང།,geu khung
staircase,སྐས་འཛེགས།,ke dzek
toilet,གསང་སྤྱོད།,sang chod
bathroom,ཁྲུས་ཁང།,tru khang
kitchen,ཐབ་ཚང།,thub tsang
living room,སྡོད་ཁང།/ ཚོམས་ཆེན།,tsom chen
bedroom,ཉལ་ཁང།,nyel khang
corridor,བར་ཁྱམས།,par khyam
shrine room,མཆོད་ཁང།,chod khang
bed,ཉལ་ཁྲི།,nyel tri
palace,ཕོ་བྲང/རྒྱལ་ཁང།,pho drang / gyel khang
castle,མཁར་རྫོང།,khar dzong
cottage,གྲོང་གསེབ་ཁང་ཆུང།,drong sep khang chung
hut,སྦྱིལ་བུ།,jil bu
shack,ཁང་གོག,khang gok
farm house,གཡུལ་ཁང།,yül khang
bungalow,ཁང་ཆེན་ཐོག་གཅིག་མ།,khang chen tok chik ma
duplex,ཁྱིམ་ཐོག་གཉིས་མ།,khyim tok nyi ma
condominium,མཉམ་འདུས་སྡོད་ཁང།,nyam dü dö khang
stilt house,ཀ་སྐྱོར་ཁང་པ།,ka kyor khang pa
terraced house,ཁང་པ་འདབས་འབྲེལ།,khang pa dap drel
skyscraper,གནམ་བསྙེགས་ཁང་བཟང།,nam nyek khang zang
semi detached house,གཅིག་སྦྲེལ་སྡོད་ཁང།,chik drel dö khang
log cabin,ཤིང་ཁང།,shing khang
mansion,ཁང་བཟང།,khang zang
tree house,སྡོང་ཁང།,dong khang
light house,སྒྲོན་མཁར།,drön khar
igloo,ཨིག་ལུ་ཁང་པ།,ik lu khang pa
school,སློབ་གྲྭ།,lob da
classroom,སློབ་ཁང།,lob khang
teacher,དགེ་རྒན།,gegen
student,སློབ་མ།,lobma
stationery,ཡིག་ཆས།,yig chey
subject,སློབ་ཚན།,lop tsen
uniform,སྒྲིག་ཆས།,drik ches
activity ,བྱེད་སྒོ།,jed gö
principal,སློབ་སྤྱི།,lop chi
