English,Tibetan,THL Phonetics
buddha,སངས་རྒྱས།,san gye
flower,མེ་ཏོག།,metok
Monastery ,དགོན་པ།,gon pa
water,ཆུ།,chu
meditation,སྒོམ།,gom
forest,ཤིང་ནགས།,shing nak
zoo,གཅན་གཟན་ཁང།,chänzän khang
desert,བྱེ་ཐང།,chä thang
offering,མཆོད་པ།,chö pa
reincarnation,ཡང་སྲིད,yang si
teacher,དགེ་རྒན,gegen
doctor,སྨན་པ།,menpa
lawyer,ཁྲིམས་ཙོད་པ།,thrimtsöpa
farmer,ཞིང་པ།,zhingpa
chef,མ་བྱན,machen
writer,རྩོམ་པ་པོ།,tsompapo
policeman,ཉིན་རྟོག་པ།,nyentokpa
soldier,དམག་མི།,makmi
athlete,རྩལ་འགྲན་པ།,tseldrenpa
actor/actress,འདྲིན་པ།/མ།,drenpa/ma
singer(m/f),གཞས་པ།/མ།,zhepa/ma
musician,རོལ་མོ་མཁན,rölmokhen
businessman,ཚོང་པ།,tsongpa
shopkeeper,ཚོང་བདག,tsongdak
secretary,དྲུང་ཡིག,trungyik
phone,ཁ་པར།,khapar
cell phone,ལག་ཐོག་ཁ་པར།,lakthokhapar
camera,པར་ཆས།,parchä
computer,གློག་ཀླད།,loklä
printer,པར་གློག་འཕྲུལ་ཆས།,parlokthülchä
usb key,མཐེབ་་སྡེར།,thepder
television,བརྙན་འཕྲིན།,nyenthrin
radio,རླུང་འཕྲིན།,lungthrin
sound box,སྒྲ་སྒམ།,dragam
glasses,མིག་ཤེལ།,mikshel
toothpaste,སོ་སྨན།,so man
toothbrush,སོ་ཁྲུས།,so khru
lipstick,མཆུ་ཚོས།,chu tshö
soap,འདག་རྫས།,dag rzdar
facecream,ངོ་སྣུམ།,ngo num
towel,ཨ་ཅོར།,a jor
shampoo,ཤཱམ་པུ།,shum pu
hair oil ,སྐྲ་སྣུམ།,tra num
comb,རྒྱུག་ཤད།,gyug shie
country ,རྒྱལ་ཁབ།,gyel khap
national flag,རྒྱལ་དར།,gyel tar
national anthem,རྒྱལ་གླུ།,gyel lu
king,རྒྱལ་པོ།,gyalpo
capital city,རྒྱལ་ས།,gyel sa
prince,རྒྱལ་སྲས།,gyel se
kingdom,རྒྱལ་ཕྲན།,gyel tren
palace,རྒྱལ་ཁང།,gyel khang
national law,རྒྱལ་ཁྲིམས།,gyel trim
action of generousity,སྦྱིན་པ།,jin pa
discipline,ཚུལ་ཁྲིམས།,tsul trim
patience,བཟོད་པ།,zö pa
diligence,བཙོན་འགྲུས།,tsön drü
concentration,བསམ་གཏན།,sam ten
wisdom,ཤེས་རབ།,she rap
health ,འཕྲོད་བསྟེན།,trö ten
weather,གནམ་གཤིས།,nam shi
sunrises,ཉིི་མ་ཤར།,nyi ma shar
wind blows,རླུང་བུ་རྒྱག,lung bu gyag
ice forms,འཁྱག་པ་ཆགས།,khyag pa chag
moon sets,ཟླ་བ་ནུབ།,da wa nub
rain,ཆར་པ།,char pa
snow falls,ཁ་བ་འབབ།,kha wa bup
cloud,སྤྲིན་པ།,trin pa
