English,Tibetan,THL Phonetics
democracy,མང་གཙོ།,mang tso
communist,དམར་ཤོག,mar shok
independent,རང་བཙན།,rang tsen
freedom,རང་དབང།,rang wang
law,ཁྲིམས།,trim
security law,བདེ་སྲུང་གི་ཁྲིམས།,de sung gi trim
election,འོས་བསྡུ།,ö du
campaign,ལས་འགུལ།,le gül
debate,བགྲོ་གླེང།,dro leng
border conflicts,ས་མཚམས་རྩོད་རྙོག,sa mtsham tsö nyok
struggle,འཐབ་རྩོད།,thap tsö
protest,ངོ་རྒོལ།,ngo göl
president,སྲིད་འཛིན།,si dzin
prime minister,སྲིིད་བློན།,si lön
peace,ཞི་བདེ།,zhi de
justice,དྲང་བདེན།,drang den
human rights,འགྲོ་བ་མིའི་ཐོབ་ཐང།,dro wa mi top tang
equality,འདྲ་མཉམ།,dra nyam
pressure,སྣོན་ཤུགས།,nön shuk
control,སྟངས་འཛིན།,tang dzin
empire ,བཙན་རྒྱལ།,tsen gyel
empirialism,བཙན་རྒྱལ་རིང་ལུགས།,tsen gyel ring luk
colonialism,མི་སེར་སྤེལ་བའི་རིང་ལུགས།,mi ser pel we ring luk
socialism,སྤྱི་ཚོགས་རིང་ལུགས།,chi tshok ring luk
capitalism,མ་རྩ་རིང་ལུགས།,ma tsa ring luk
conflict,རྩོད་རྙོག།,tsö nyok
complicated,རྙོག་དྲ་ཚ་པོ།,nyok dra tsha po
harmony,འཆམ་མཐུན།,cham tün
racism,མི་རིགས་འཐེན་འཁྱེར་རིང་ལུགས།,mi rik then khyer ring luk
sexism,ཕོ་མོ་དབྱེ་འབྱེད་རིང་ལུགས།,pho mo ye je ring luk
discrimination,དབྱེ་འབྱེད།,ye je
accord/agreement,ཆིངས་ཡིག,ching yik
invasion,བཙན་འཛུལ།,tsen dzul
government,གཞུང་།,shung
parliment,སྤྱི་འཐུས་ལྷན་ཁང།,chi tü lhen khang
court,ཁྲིམས་ཁང།,trim khang
home minister,ནང་སྲིད་བཀའ་བློན།,nang si ka lön
foreign minister,ཕྱི་སྲིད་བཀའ་བློན།,chi si ka lön
politician ,ཆབ་སྲིད་པ།,chap si pa
politicial science,ཆབ་སྲིད་ཚན་རིག,chap si tsen rik
political prisoner,ཆབ་སྲིད་བཙོན་པ།,chap si tsön pa
military power,དམག་ཤུགས།,mak shuk
constitution,རྩ་ཁྲིམས།,tsa trim
