English,Tibetan,THL Phonetics
pumpkin,བོང་ཤ,phong sha
carrot,ལ་སེར།,lasär
tomato,ལྡུམ་སྒོང།,dumgong
cauliflower,མེ་ཏོག་པད་ཚལ།,metok petsel
broccoli,ཐེའུ་པད་ཚལ།,theou petsel
cabbage,ལོ་འཁོར་པད་ཚལ།,lokhor
lettuce,པད་སིབ།,päsip
cucumber,ཁི་ར།,khira
eggplant,དུ་ལུམ་མ།,thuluma
onion,ཙོང།,tsong
chilli,སུར་པན,surpen
potato,ཞོག་ཁོག,shokhok
capsicum,སོ་ལོ་སྔོན་པོ།,so lo ngonpo
garlic,སྒོག་པ།,gog pa
aubergine,དོ་ལུམ་མ།,do lum ma
beetroot,ཉུང་དམར།,nyung mar
mushroom,ཤ་མོ།,shamo
lady's finger,མཛུབ་ཚལ།,zub tsel
peas,སྲན་མ།,sen ma
turnip,ཉུང་མ།,nyung ma
chinese cabbage,པད་ཚལ།,celery
