English,Tibetan,THL Phonetics
put down,ས་ལ་བཞག(འཇོག),sa la zhak (jok)
run,རྒྱུག་ཤར་གློད།,gyuk shar lö
climb,རི་ལ་འཛེག,ri la dzek
fall,སྒང་ནས་ལྷུང།,gang ne lhung
crawl,གོག་ནས་འགྲོ,gok ne dro
pick up,སྒྲུག,druk
lean,ཁེན།,khen
kick,རྡོག་རྒྱག་གཞུ།,dok gyak zhu
lift,བཀྱག,kyak
carry,འཁྱེར།,khyer
drop,ཤོར།,shor
crouch,ཙོག་པུར་སྡོད།,tsok pur dö
bend down,སྒུར།,gur
catch ,འཇུ།,ju
pull,འཐེན།,then
push,འབུད་རྒྱག་བརྒྱབ།,bü gyak gyap
hit,གཞུ།,zhu
kneel,པུས་མོས་བཙུགས།(འཛུགས།),pü mö tsuk (dzuk)
slip,འདྲེད་བརྡབ་ཤོར།,dre dap shor
skip,ཐག་མཆོང་རྒྱག,tak chong gyak
jump,མཆོང་,chong
trip,རྐང་འཁྲིལ་ཤོར།,kang tril shor
walk,གོམ་པ་རྒྱག,gom pa gyak
fly,འཕུར།,phur
swim,རྐྱལ་རྒྱག,kyel gyak
to shop,ཉོ་ཆ་རྒྱག,nyo cha gyak
