English,Tibetan,THL Phonetics
vocabulary,མིང་ཚིག་,ming tsik
degree,ལག་འཁྱེར།,lak khyer
cancel,ཕྱིར་འཐེན།,chir then
mask,ཁ་རས།,kha re
delivery,སྐྱེལ་འདྲེན།,kyel dren
appointment,འཛོམས་དུས།,dzom du
charger,གློག་གསོག་ཆས།,lok sak che
technology,འཕྲུལ་རིག,trul rik
software,མཉེན་ཆས།,nyen che
website,དྲྭ་ཚིགས།,dra tsig
environment,ཁོར་ཡུག,khor yug
global warming,གོ་ལའི་ཚ་དྲོད།,golay tsa dod
natural disaster,རང་བྱུང་གོད་ཅག,rang jung godh chak
mouth,ཁ,kha
i,ང,nga
pair,ཆ,cha
tea,ཇ,ja
fish,ཉ,nya
to fall ill,ན,na
father,ཕ,pha
mother,མ,ma
salt,ཚྭ,tsha
fox,ལྦ,wa
goat,ར,ra
meat,ཤ,sha
